Adventure Time/	🏰👦🐶🌈
The Amazing World of Gumball/	🐱🐟🏫😂
Regular Show/	🦝🦅🏞️😂
Steven Universe/	💎👦🌌🎶
Teen Titans Go!/	🦸‍♂️🦸‍♀️🌆😂
Ben 10/	👦👽🛡️🔄
The Powerpuff Girls/	👧👧👧💥🌆
Dexter's Laboratory/	🧪🔬👨‍🔬🏠
Johnny Bravo/	💪🕶️😂👱‍♂️
Samurai Jack/	🥷⚔️🌌👊
Courage the Cowardly Dog/	🐶😱👻🏠
Ed, Edd n Eddy/	😂🏠👦🍬
The Grim Adventures of Billy & Mandy/	💀👦👧😂
Codename: Kids Next Door/	🧒🕵️‍♂️🌍🔍
Foster's Home for Imaginary Friends/	🏠👻👫🎨
The Marvelous Misadventures of Flapjack/	🚢👦🍬🌊
Chowder/	🍲👦🍴😂
Total Drama Island/	🏝️🎭😂🏆
The Secret Saturdays/	🐉🕵️‍♂️🌍🔍
Generator Rex/	🤖👦💥🌆
Sym-Bionic Titan/	🤖👦👧💥
Young Justice/	🦸‍♂️🦸‍♀️🌆💥
Justice League/	🦸‍♂️🦸‍♀️🌍💥
Batman: The Animated Series/	🦇🦸‍♂️🌆🔍
Green Lantern: The Animated Series/	💡🦸‍♂️🌌💥
Static Shock/	⚡🦸‍♂️🌆💥
Teen Titans/	🦸‍♂️🦸‍♀️🌆💥
The Looney Tunes Show/	🐰🦆😂🎬
Tom and Jerry/	🐱🐭😂🏠
Scooby-Doo, Where Are You!/	🐶🕵️‍♂️👻🚐
The Flintstones/	🦕🏠👨‍👩‍👧‍👦🚗
The Jetsons/	🚀🏠👨‍👩‍👧‍👦🤖
Scooby-Doo/	🐶🕵️‍♂️👻🚐
The Powerpuff Girls/	👧👧👧💥🌆
Johnny Bravo/	💪🕶️😂👱‍♂️
Dexter's Laboratory/	🧪🔬👨‍🔬🏠
Samurai Jack/	🥷⚔️🌌👊
Courage the Cowardly Dog/	🐶😱👻🏠
Ed, Edd n Eddy/	😂🏠👦🍬
The Grim Adventures of Billy & Mandy/	💀👦👧😂
Codename: Kids Next Door/	🧒🕵️‍♂️🌍🔍
Foster's Home for Imaginary Friends/	🏠👻👫🎨
Ben 10/	👦👽🛡️🔄
Teen Titans/	🦸‍♂️🦸‍♀️🌆💥
Avatar: The Last Airbender/	🌊🔥🌪️🌍
Winx Club/	🧚‍♀️🌸🦋🏰
Totally Spies!/	🕵️‍♀️👧🔍🌆
Kim Possible/	🥷🧑‍🦰🦸‍♀️📱
Lilo & Stitch/	👽🏝️👧🐶
The Fairly OddParents/	🧚‍♂️👦🧚‍♀️🏠
