The Lion King/	🦁👑🌅🎶
Snow White and the Seven Dwarfs/	👸🍎🌲🧙‍♀️
Beauty and the Beast/	🌹👸🐻🏰
Pinocchio/	🤥🧚‍♂️🐋🎠
Frozen/	❄️👭⛄🏔️
Moana/	🌊🚤🌺🏝️
Aladdin/	🧞‍♂️🕌🐒🌟
Cinderella/	👠🎃👸🕛
The Little Mermaid/	🧜‍♀️🌊🐠🎶
Mulan/	🏹👸🐉⚔️
Pocahontas/	🌳🛶👸🍂
Tangled/	🌟👸🏰🌺
Hercules/	💪⚡🏛️👹
Tarzan/	🦍🌳👨‍🦱🏞️
The Jungle Book/	🐻🐍🐅🌴
Peter Pan/	🧚‍♂️🏴‍☠️🌟🗺️
Sleeping Beauty/	👸🛌🐉🧙‍♀️
Dumbo/	🐘🎪🎩🎠
Bambi/	🦌🌲🔥🌸
Alice in Wonderland/	🐇🎩🌀👧
The Aristocats/	🐱🎶🎩🗼
Lady and the Tramp/	🐶🍝🌙❤️
101 Dalmatians/	🐾🐶👩‍👧‍👦🚗
The Hunchback of Notre Dame/	🏰🔔👨‍🦱🔥
Lilo & Stitch/	👽🏝️👧🐶
The Nightmare Before Christmas/	🎃🎄👻🎶
Toy Story/	🤠🚀🧸👦
Monsters, Inc./	👹🚪👧🏢
Finding Nemo/	🐠🌊🐢🦈
The Incredibles/	🦸‍♂️🦸‍♀️👨‍👩‍👧‍👦💥
Ratatouille/	🐭🍳👨‍🍳🇫🇷
Up/	🎈🏠👴🐶
WALL-E/	🤖🌍🚀❤️
Brave/	🏹👸🐻🏴󠁧󠁢󠁳󠁣󠁴󠁿
Zootopia/	🦊🐰🚓🌆
Big Hero 6/	🤖👨‍🔬💥🏙️
Coco/	🎸💀👨‍👩‍👧‍👦🌺
Inside Out/	😊😢😡😱
Cars/	🚗🏁🏎️🌄
A Bug's Life/	🐜🌾🐞🦗
The Princess and the Frog/	👸🐸🎹🎶
Wreck-It Ralph/	👾🎮🍬🏆
Frozen II/	❄️👭🍂🌊
Ralph Breaks the Internet/	💻👾🌐🎮
Tangled/	🌟👸🏰🌺
The Good Dinosaur/	🦕🌲👦🌄
Onward/	🧙‍♂️🧝‍♂️🚐🗺️
Soul/	🎹👻🎶🌌
Raya and the Last Dragon/	🐉👸⚔️🌊
Luca/	🧜‍♂️🏖️🍝🇮🇹
