Detective Conan/	🕵️‍♂️🔍🧠💼
Captain Tsubasa/	⚽🏆🇯🇵👟
Dragon Ball Z/	🐉👊💥🌌
Naruto/	🥷🍥🔥🌪️
One Piece/	🏴‍☠️🌊👒⚓
Digimon Adventure/	🐉🌐👾🧒
Hunter x Hunter/	🏹🧒🌲👊
Beyblade/	🌀⚔️🏆👦
Slam Dunk/	🏀⛹️‍♂️🏆🇯🇵
Inazuma Eleven/	⚽⚡🏆👟
Pokemon/	🐉⚡🎮🔍
Doraemon/	🐱🕰️🧒🔧
Tom and Jerry/	🐱🐭😂🏠
The Adventures of Tintin/	🕵️‍♂️🌍🚢🔍
The Smurfs/	👨‍👩‍👧‍👦🏞️🔵🍄
The Flintstones/	🦕🏠👨‍👩‍👧‍👦🚗
The Jetsons/	🚀🏠👨‍👩‍👧‍👦🤖
Looney Tunes/	🐰🦆😂🎬
Scooby-Doo/	🐶🕵️‍♂️👻🚐
The Powerpuff Girls/	👧👧👧💥🌆
Johnny Bravo/	💪🕶️😂👱‍♂️
Dexter's Laboratory/	🧪🔬👨‍🔬🏠
Samurai Jack/	🥷⚔️🌌👊
Courage the Cowardly Dog/	🐶😱👻🏠
Ed, Edd n Eddy/	😂🏠👦🍬
The Grim Adventures of Billy & Mandy/	💀👦👧😂
Codename: Kids Next Door/	🧒🕵️‍♂️🌍🔍
Foster's Home for Imaginary Friends/	🏠👻👫🎨
Ben 10/	👦👽🛡️🔄
Teen Titans/	🦸‍♂️🦸‍♀️🌆💥
Avatar: The Last Airbender/	🌊🔥🌪️🌍
Winx Club/	🧚‍♀️🌸🦋🏰
Totally Spies!/	🕵️‍♀️👧🔍🌆
Kim Possible/	🥷🧑‍🦰🦸‍♀️📱
Lilo & Stitch/	👽🏝️👧🐶
The Fairly OddParents/	🧚‍♂️👦🧚‍♀️🏠
SpongeBob SquarePants/	🍍🧽🌊😂
Jimmy Neutron/	🧠👦🚀🔬
Danny Phantom/	👻👦🕵️‍♂️🌆
My Life as a Teenage Robot/	🤖👧🌆🔧
The Wild Thornberrys/	🦁🌍🚐👨‍👩‍👧‍👦
Rugrats/	👶🍼🏠😂
Hey Arnold!/	🏫👦🏠😂
Rocko's Modern Life/	🐨🏠😂🌆
Invader Zim/	👽🌆😂🔍
The Angry Beavers/	🦫🏠😂🌲
CatDog/	🐱🐶🏠😂
Rocket Power/	🛹🏄‍♂️🏄‍♀️🌆
As Told by Ginger/	👧🏫🏠😂
Invader Zim/	👽🌆😂🔍
